[210]		一	×一
[2271]		営	⿱{⿻⿱{⺍,冖},呂}
[2272]		圏	⿴{囗,巻}
[2273]		堅	⿱{臤,土}
[2274]		堕	⿱{陏,土}
[2275]		堙	⿰{土,⿻⿱{⻃,土}}
[2276]		堡	⿱{保,土}
[2277]		堤	⿰{土,是}
[2278]		堪	⿰{土,甚}
[2279]		堰	⿰{土,匽}
[2280]		報	⿰{幸,𠬝}
[2281]		場	⿰{土,昜}
[2282]		堺	⿰{土,界}
[2283]		塁	⿳{田,⿰{ン,⿰{ノ,乀}},土}
[2284]		塔	⿰{土,荅}
[2285]		塚	⿰{土,冢}
[2286]		壹	⿱{⿱{士,冖},豆}
[2288]		壺	⿻⿱{⿱{士,冖},亞}
[2289]		奠	⿻⿱{酋,大}
[2290]		奢	⿵{大,者}
[2291]		奥	⿻⿱{⿵{⿻⿱{′,冂},米},大}
[2292]		婿	⿰{女,胥}
[2293]		媒	⿰{女,某}
[2294]		媚	⿰{女,眉}
[2295]		富	⿱{宀,畐}
[2297]		寒	⿱{⿳{宀,𠀎,八},⺀}
[2298]		寓	⿱{宀,禺}
[2299]		尊	⿻⿱{⿻⿱{丷,酉},寸}
[2300]		尋	⿱{∃,⿱{⿰{工,口},寸}}
[2301]		就	⿰{京,尤}
[2302]		属	⿸{尸,禹}
[2303]		屡	⿸{尸,娄}
[2304]		嵌	⿱{山,⿰{甘,欠}}
[2305]		嵐	⿱{山,風}
[2306]		帽	⿰{巾,冒}
[2307]		幅	⿰{巾,畐}
[2308]		幇	⿱{封,巾}
[2309]		幾	⿹{⿻⿱{⿰{幺,幺},戈},人}
[2310]		廂	⿸{广,相}
[2311]		廃	⿸{广,発}
[2312]		廊	⿸{广,郎}
[2313]		弑	⿰{⿱{㐅,木},式}
[2314]		弾	⿰{弓,単}
[2315]		御	⿰{彳,卸}
[2316]		徨	⿰{彳,皇}
[2317]		復	⿰{彳,⿱{𠂉,⿱{日,夂}}}
[2318]		循	⿰{彳,盾}
[2319]		悲	⿱{非,心}
[2320]		悶	⿵{門,心}
[2321]		惑	⿱{或,心}
[2322]		惠	⿱{⿻⿸{⿻⿱{⿻×{⿱{一,日},丨},一},ヽ},心}
[2323]		惣	⿱{物,心}
[2324]		惰	⿰{忄,⿱{左,月}}
[2325]		惹	⿱{若,心}
[2326]		惻	⿰{忄,則}
[2328]		愉	⿰{忄,⿱{⿵{人,一},刖}}
[2329]		愕	⿰{忄,咢}
[2330]		慌	⿰{忄,荒}
[2331]		扉	⿸{戸,非}
[2332]		捲	⿰{扌,卷}
[2334]		掌	⿱{⿱{龸,口},手}
[2335]		掣	⿱{制,手}
[2337]		揃	⿰{扌,前}
[2338]		揉	⿰{扌,柔}
[2339]		提	⿰{扌,是}
[2340]		揖	⿰{扌,⿱{口,耳}}
[2341]		揚	⿰{扌,昜}
[2342]		換	⿰{扌,奐}
[2343]		握	⿰{扌,屋}
[2344]		揣	⿰{扌,耑}
[2345]		揮	⿰{扌,軍}
[2346]		援	⿰{扌,⿱{⺤,叐}}
[2347]		揶	⿰{扌,耶}
[2348]		揺	⿰{扌,⿱{⺤,⿻⿱{干,凵}}}
[2349]		搭	⿰{扌,荅}
[2350]		敢	⿰{⿻⿱{丅,耳},攵}
[2351]		散	⿰{⿱{⿻⿱{卄,一},月},攵}
[2352]		敦	⿰{享,攵}
[2353]		敬	⿰{苟,攵}
[2354]		斐	⿱{非,文}
[2355]		斑	⿻⿲{玨,⿱{亠,㐅}}(⿲{𤣩,⿱{亠,㐅},王})
[2356]		斯	⿰{其,斤}
[2357]		晩	⿰{日,免}
[2358]		普	⿱{並,日}
[2359]		景	⿻⿱{日,京}
[2360]		晴	⿰{日,青}
[2361]		晶	⿱{日,昍}
[2362]		智	⿱{知,日}
[2363]		暁	⿰{日,尭}
[2364]		暑	⿸{者,日}
[2366]		曾	⿱{⿻⿱{⿻×{⿻×{⿻⿱{八,冂},丨},丷},一},日}
[2367]		替	⿱{⿰{夫,夫},日}
[2368]		最	⿱{日,取}
[2369]		朝	⿰{龺,月}
[2370]		期	⿰{其,月}
[2371]		棉	⿰{木,帛}
[2372]		棋	⿰{木,其}
[2373]		棍	⿰{木,昆}
[2374]		棒	⿰{木,奉}
[2375]		棕	⿰{木,宗}
[2376]		棗	⿱{朿,朿}
[2377]		棚	⿰{木,朋}
[2378]		棟	⿰{木,東}
[2379]		森	⿱{木,林}
[2380]		棲	⿰{木,妻}
[2381]		棹	⿰{木,卓}
[2382]		棺	⿰{木,官}
[2383]		椅	⿰{木,奇}
[2384]		椋	⿰{木,京}
[2385]		植	⿰{木,直}
[2386]		椎	⿰{木,隹}
[2387]		椒	⿰{木,叔}
[2388]		椚	⿰{木,門}
[2389]		検	⿰{木,⿵{人,⿸{⿻×{⿱{一,口},丿},乀}}}(⿰{木,⿵{人,吏}})
[2390]		欺	⿰{其,欠}
[2391]		欽	⿰{金,欠}
[2392]		款	⿰{⿱{士,示},欠}
[2393]		歯	⿻⿱{止,⿶{凵,米}}
[2394]		殖	⿰{歹,直}
[2396]		淵	⿰{氵,⿴{⿰{片,爿},一}}
[2397]		減	⿰{氵,咸}
[2398]		渡	⿰{氵,度}
[2399]		渣	⿰{氵,査}
[2400]		渥	⿰{氵,屋}
[2401]		渦	⿰{氵,咼}
[2402]		温	⿰{氵,昷}
[2403]		渫	⿰{氵,枼}
[2404]		測	⿰{氵,則}
[2405]		港	⿰{氵,⿵{共,己}}(⿰{氵,巷})
[2406]		游	⿰{氵,斿}
[2407]		渺	⿰{氵,眇}
[2408]		渾	⿰{氵,軍}
[2409]		湊	⿰{氵,奉}
[2410]		湖	⿰{氵,胡}
[2411]		湘	⿰{氵,相}
[2412]		湛	⿰{氵,甚}
[2413]		湧	⿰{氵,勇}
[2414]		湮	⿰{氵,⿻⿱{⻃,土}}
[2415]		湯	⿰{氵,易}
[2416]		湾	⿰{氵,弯}
[2417]		湿	⿰{氵,⿻⿱{日,业}}
[2418]		満	⿰{氵,⿻⿱{⺾,両}}
[2419]		溌	⿰{氵,発}
[2420]		滋	⿰{氵,茲}
[2421]		焙	⿰{火,咅}
[2422]		焚	⿱{林,火}
[2423]		焜	⿰{火,昆}
[2424]		無	⿱{⿻×{⿻↖{ノ,三},⿰{⿰{⿰{丨,丨},丨},丨}},灬}(⿱{⿻⿱{⿻⿱{𠂉,卌},一},灬})
[2425]		焦	⿱{隹,灬}
[2426]		然	⿱{⿰{⿻⿹{夕,丶},犬},灬}
[2427]		焼	⿰{火,尭}
[2428]		煉	⿰{火,柬}
[2429]		煮	⿸{者,灬}
[2430]		犀	⿸{尸,⿱{⿲{二,丨,二},牛}}
[2431]		犇	⿱{牛,⿰{牜,牛}}
[2432]		猥	⿰{犭,畏}
[2433]		猩	⿰{犭,星}
[2434]		猶	⿰{犭,⿻⿱{丷,酉}}
[2435]		琥	⿰{𤣩,⿸{虍,儿}}
[2436]		琴	⿱{玨,今}
[2437]		琵	⿱{玨,比}
[2438]		琶	⿱{玨,巴}
[2439]		琺	⿰{𤣩,法}
[2440]		瑛	⿰{𤣩,英}
[2441]		甦	⿺{更,生}
[2442]		番	⿱{来,田}
[2443]		畳	⿱{田,冝}
[2444]		疎	⿰{⺪,束}
[2445]		疏	⿰{⺪,⿱{⿻⿱{亠,厶},⿲{丿,丨,乚}}}(⿰{⺪,⿱{⿻⿱{亠,厶},⿻⿲{儿,丨}}})
[2446]		痘	⿸{疒,豆}
[2447]		痙	⿸{疒,巠}
[2448]		痛	⿸{疒,甬}
[2449]		登	⿵{癶,豆}
[2450]		皓	⿰{白,告}
[2451]		着	⿸{⿻⿱{兰,ノ},目}
[2452]		短	⿰{矢,豆}
[2453]		硝	⿰{石,肖}
[2454]		硫	⿰{石,⿱{⿻⿱{亠,厶},⿲{丿,丨,乚}}}(⿰{石,⿱{⿻⿱{亠,厶},⿻⿲{儿,丨}}})
[2455]		硬	⿰{石,更}
[2456]		硯	⿰{石,見}
[2457]		稀	⿰{禾,希}
[2458]		稈	⿰{禾,旱}
[2459]		程	⿰{禾,呈}
[2460]		税	⿰{禾,兑}
[2461]		窘	⿱{⿻⿱{宀,儿},君}
[2462]		竣	⿰{立,夋}
[2463]		童	⿱{立,里}
[2464]		竦	⿰{立,束}
[2465]		筆	⿱{⺮,聿}
[2466]		等	⿱{⺮,寺}
[2467]		筋	⿱{⺮,肋}
[2468]		筑	⿱{⺮,⿰{工,凡}}
[2469]		筒	⿱{⺮,同}
[2470]		答	⿱{⺮,合}
[2471]		策	⿱{⺮,朿}
[2472]		粟	⿱{⻃,米}
[2473]		粥	⿲{弓,米,弓}(⿻⿲{弜,米})
[2474]		粧	⿰{米,庄}
[2475]		紫	⿱{此,糸}
[2476]		結	⿰{糸,吉}
[2477]		絞	⿰{糸,交}
[2478]		絡	⿰{糸,各}
[2479]		絢	⿰{糸,旬}
[2480]		給	⿰{糸,合}
[2481]		絨	⿰{糸,戎}
[2482]		絮	⿱{如,糸}
[2483]		統	⿰{糸,充}
[2484]		絵	⿰{糸,会}
[2485]		絶	⿰{糸,色}
[2486]		翔	⿰{⿱{丷,龵},羽}
[2492]		翕	⿱{合,⿰{⿻⿹{⿻⿹{㇆,ノ},ノ},⿻⿹{⿻⿹{㇆,ノ},ノ}}}(⿱{合,羽})
[2493]		脹	⿰{月,長}
[2494]		脾	⿰{月,卑}
[2495]		腋	⿰{月,夜}
[2496]		腑	⿰{月,府}
[2497]		腔	⿰{月,空}
[2498]		腕	⿰{月,宛}
[2499]		菰	⿱{⺾,孤}
[2500]		萩	⿱{⺾,秋}
[2501]		萬	⿱{⺾,禺}
[2502]		萱	⿱{⺾,宣}
[2503]		萵	⿱{⺾,咼}
[2504]		落	⿱{⺾,洛}
[2505]		葉	⿱{⺾,枼}
[2506]		葡	⿱{⺾,匍}
[2507]		葬	⿳{⺾,死,廾}
[2508]		葭	⿱{⺾,叚}
[2509]		葱	⿱{⺾,怱}
[2510]		葵	⿱{⺾,癸}
[2511]		葷	⿱{⺾,軍}
[2512]		葺	⿳{⺾,口,耳}
[2513]		蛔	⿰{虫,回}
[2514]		蛙	⿰{虫,圭}
[2515]		蛛	⿰{虫,朱}
[2516]		蛞	⿰{虫,舌}
[2517]		蛟	⿰{虫,交}
[2518]		蛭	⿰{虫,至}
[2519]		蛮	⿱{亦,虫}
[2520]		衆	⿻⿱{血,⿰{⿱{ノ,ノ},⿻⿰{亻,⿱{ノ,乀}}}}(⿻⿱{血,乑})
[2521]		街	⿲{彳,圭,亍}
[2522]		裁	⿹{↖{十,戈},衣}
[2523]		裂	⿱{列,衣}
[2524]		装	⿱{壮,衣}
[2525]		裕	⿰{⻂,谷}
[2526]		補	⿰{⻂,甫}
[2527]		覗	⿰{司,見}
[2528]		覚	⿱{⿱{⺍,冖},見}
[2529]		訝	⿰{言,牙}
[2530]		訴	⿰{言,斥}
[2531]		訶	⿰{言,可}
[2532]		診	⿰{言,㐱}
[2533]		註	⿰{言,圭}
[2534]		証	⿰{言,正}
[2535]		詐	⿰{言,乍}
[2536]		詔	⿰{言,召}
[2537]		評	⿰{言,平}
[2538]		詛	⿰{言,且}
[2539]		詞	⿰{言,司}
[2540]		詠	⿰{言,永}
[2541]		象	⿻⿱{⿻⿱{⺈,冂},⿻×{丨,豕}}
[2542]		貯	⿰{貝,宁}
[2543]		貰	⿱{世,貝}
[2544]		貴	⿱{𠀐,貝}
[2545]		買	⿱{罒,貝}
[2546]		貸	⿱{代,貝}
[2547]		費	⿱{弗,貝}
[2548]		貼	⿰{貝,占}
[2549]		貽	⿰{貝,台}
[2550]		貿	⿱{⿰{⿻⿸{⿻⿱{⿻⿱{ノ,丨},一},ヽ},刀},貝}
[2551]		賀	⿱{加,貝}
[2552]		超	⿺{走,召}
[2553]		越	⿺{走,戉}
[2554]		跋	⿰{⻊,犮}
[2555]		跏	⿰{⻊,加}
[2556]		跖	⿰{⻊,石}
[2557]		距	⿰{⻊,巨}
[2558]		軸	⿰{車,由}
[2559]		軽	⿰{車,圣}
[2560]		逼	⿺{⻍,畐}
[2561]		遁	⿺{⻍,盾}
[2562]		遂	⿺{⻌,⿻⿱{丷,豕}}
[2563]		遅	⿺{⻌,⿸{尸,羊}}
[2564]		遇	⿺{⻌,禺}
[2565]		遊	⿺{⻌,斿}
[2566]		運	⿺{⻌,軍}
[2567]		遍	⿺{⻌,⿸{戸,𠕁}}
[2568]		過	⿺{⻌,咼}
[2569]		道	⿺{⻌,首}
[2570]		達	⿺{⻌,幸}
[2571]		遥	⿺{⻌,⿱{⺤,⿻⿱{干,凵}}}
[2572]		酢	⿰{酉,乍}
[2573]		量	⿱{旦,里}
[2574]		鈍	⿰{金,屯}
[2575]		開	⿵{門,开}
[2576]		閏	⿵{門,王}
[2577]		閑	⿵{門,木}
[2578]		間	⿵{門,日}
[2579]		陽	⿰{阝,昜}
[2580]		隅	⿰{阝,禺}
[2581]		隈	⿰{阝,畏}
[2582]		隊	⿰{阝,⿻⿱{丷,豕}}
[2583]		階	⿰{阝,皆}
[2584]		随	⿰{阝,有}
[2585]		雁	⿸{厂,⿰{亻,隹}}
[2586]		雄	⿱{厷,隹}
[2587]		集	⿻⿱{隹,木}
[2588]		雇	⿸{戸,隹}
[2589]		雰	⿱{⻗,分}
[2590]		雲	⿱{⻗,云}
[2591]		靭	⿰{革,刃}
[2592]		靱	⿰{革,刄}
[2593]		韮	⿱{⺾,⿻⿱{非,一}}
[2594]		項	⿰{工,頁}
[2595]		順	⿰{川,頁}
[2596]		須	⿰{彡,頁}
[2597]		飯	⿰{⻟,反}
[2598]		飲	⿰{⻟,欠}
[2599]		馭	⿰{馬,又}
[2600]		馮	⿰{冫,馬}
[2603]		傑	⿰{亻,桀}
[2604]		催	⿰{亻,崔}
[2605]		傭	⿰{亻,庸}
[2606]		傲	⿰{亻,敖}
[2607]		傳	⿰{亻,専}
[2608]		傴	⿰{亻,區}
[2609]		債	⿰{亻,責}
[2610]		傷	⿰{亻,⿱{𠂉,昜}}
[2611]		傾	⿰{亻,頃}
[2612]		働	⿰{亻,動}
[2613]		僧	⿰{亻,曽}
[2614]		剽	⿰{票,刂}
[2615]		剿	⿰{⿱{巛,果},刂}
[2616]		勢	⿱{埶,力}
[2617]		勧	⿰{⿻⿱{⿱{𠂉,一},隹},力}
[2618]		嗄	⿰{口,夏}
[2619]		嗅	⿰{口,臭}
[2620]		嗚	⿰{口,烏}
[2621]		嗜	⿰{口,耆}
[2622]		嗟	⿰{口,差}
[2623]		嗣	⿰{⿱{口,冊},司}
[2624]		嗤	⿰{口,蚩}
[2625]		嘆	⿰{口,⿱{⺾,⿻⿱{口,夫}}}
[2626]		嘩	⿰{口,華}
[2627]		園	⿴{囗,袁}
[2628]		圓	⿴{囗,員}
[2629]		塊	⿰{土,鬼}
[2630]		塑	⿱{朔,土}
[2631]		塗	⿱{⿰{氵,余},土}
[2632]		塞	⿵{⿱{宀,⿻⿱{𠀎,八}},土}
[2633]		塩	⿰{土,⿱{⿱{𠂉,口},皿}}
[2634]		填	⿰{土,真}
[2635]		墓	⿵{莫,土}
[2636]		夢	⿱{⺾,⿱{罒,⿱{冖,夕}}}
[2637]		奧	⿻⿱{⿵{⿻⿱{′,冂},釆},大}
[2638]		媾	⿰{女,冓}
[2639]		嫁	⿰{女,家}
[2640]		嫉	⿰{女,疾}
[2641]		嫋	⿰{女,弱}
[2642]		嫌	⿰{女,兼}
[2643]		寛	⿱{宀,莧}
[2644]		寝	⿱{宀,⿰{⺦,⿳{∃,冖,又}}}(⿱{宀,浸})
[2645]		尠	⿰{甚,少}
[2646]		嵩	⿱{山,高}
[2647]		嵯	⿰{山,差}
[2648]		幌	⿰{巾,晃}
[2649]		幕	⿱{⺾,⿵{旲,巾}}
[2650]		幹	⿰{龺,⿵{人,干}}
[2651]		廉	⿸{广,兼}
[2652]		彙	⿱{⿱{彑,冖},果}
[2653]		微	⿰{彳,⿰{⿱{山,兀},攵}}
[2654]		想	⿱{相,心}
[2655]		愁	⿱{秋,心}
[2656]		愈	⿱{兪,心}
[2657]		愍	⿱{敃,心}
[2658]		意	⿱{音,心}
[2659]		愚	⿱{禺,心}
[2660]		愛	⿱{⿱{⿱{⺤,冖},心},夂}
[2661]		感	⿱{咸,心}
[2662]		愾	⿰{忄,氣}
[2663]		慄	⿰{忄,栗}
[2664]		慈	⿱{茲,心}
[2669]		慊	⿰{忄,兼}
[2670]		慎	⿰{忄,真}
[2671]		慨	⿰{忄,既}
[2672]		戦	⿰{単,戈}
[2673]		損	⿰{扌,員}
[2674]		搏	⿰{扌,専}
[2675]		搖	⿰{扌,⿱{⿹{夕,丶},缶}}
[2676]		搗	⿰{扌,島}
[2677]		搦	⿰{扌,弱}
[2678]		搬	⿰{扌,般}
[2679]		携	⿰{扌,⿱{隹,乃}}
[2680]		搾	⿰{扌,⿱{⿻⿱{宀,儿},乍}}
[2681]		摂	⿰{扌,⿱{耳,⿰{ン,⿱{ノ,乀}}}}
[2682]		摸	⿰{扌,莫}
[2683]		数	⿰{娄,攵}
[2684]		斟	⿰{甚,斗}
[2685]		新	⿰{⿻⿱{立,木},斤}
[2686]		暇	⿰{日,叚}
[2687]		暖	⿰{日,⿱{⺤,叐}}(⿰{日,爰})
[2688]		暗	⿰{日,音}
[2689]		會	⿱{⿵{⿵{人,一},⿻⿱{⿻×{⿻×{冂,丨},丷},一}},日}(⿱{⿵{⿵{人,一},田},日})
[2690]		棄	⿻⿱{⿻⿱{亠,厶},⿻⿱{廿,木}}
[2691]		椰	⿰{木,耶}
[2692]		椴	⿰{木,段}
[2693]		椿	⿰{木,春}
[2694]		楊	⿰{木,昜}
[2695]		楕	⿰{木,⿱{左,月}}
[2696]		楚	⿱{林,𤴓}
[2697]		楠	⿰{木,南}
[2698]		楢	⿰{木,⿵{八,酉}}
[2699]		業	⿱{业,𦍎}
[2700]		楯	⿰{木,盾}
[2701]		極	⿰{木,亟}
[2702]		楷	⿰{木,皆}
[2703]		楼	⿰{木,娄}
[2704]		楽	⿱{⿲{ン,白,⿱{ノ,乀}},木}
[2705]		榊	⿰{木,⿰{示,申}}
[2706]		榔	⿰{木,郎}
[2707]		歇	⿰{曷,欠}
[2708]		歳	⿱{止,⿵{戊,⿻×{丁,ハ}}}
[2709]		殿	⿰{⿸{尸,共},殳}
[2710]		毀	⿰{⿻⿱{臼,土},殳}
[2711]		源	⿰{氵,原}
[2712]		準	⿱{淮,十}
[2713]		溜	⿰{氵,留}
[2714]		溝	⿰{氵,冓}
[2715]		溢	⿰{氵,⿵{⿱{⿵{八,一},八},皿}}
[2716]		溯	⿰{氵,朔}
[2717]		溲	⿰{氵,叟}
[2718]		溶	⿰{氵,容}
[2719]		溷	⿰{氵,圂}
[2720]		溺	⿰{氵,弱}
[2721]		滂	⿰{氵,旁}
[2722]		滄	⿰{氵,倉}
[2723]		滅	⿰{氵,烕}
[2724]		滑	⿰{氵,骨}
[2725]		滔	⿰{氵,舀}
[2726]		滝	⿰{氵,竜}
[2727]		滞	⿰{氵,帯}
[2728]		漠	⿰{氵,莫}
[2729]		漢	⿰{氵,⿱{⺾,⿻⿱{口,夫}}}
[2730]		煌	⿰{火,皇}
[2732]		煎	⿱{前,灬}
[2733]		煕	⿱{巸,灬}
[2734]		煖	⿰{火,爰}
[2735]		煙	⿰{火,⿱{⻃,土}}
[2736]		煤	⿰{火,某}
[2737]		煥	⿰{火,奐}
[2738]		照	⿱{昭,灬}
[2739]		煩	⿰{火,頁}
[2740]		爺	⿱{父,耶}
[2741]		献	⿰{南,犬}
[2742]		猿	⿰{犭,袁}
[2743]		獅	⿰{犭,師}
[2744]		瑕	⿰{𤣩,叚}
[2745]		瑚	⿰{𤣩,胡}
[2746]		瑜	⿰{𤣩,兪}
[2747]		瑞	⿰{𤣩,耑}
[2748]		瑶	⿰{𤣩,⿱{⺤,⿻⿱{干,凵}}}
[2749]		畸	⿰{田,奇}
[2750]		痳	⿸{疒,林}
[2751]		痴	⿸{疒,知}
[2752]		痺	⿸{疒,卑}
[2753]		痼	⿸{疒,固}
[2754]		盞	⿱{戔,皿}
[2755]		盟	⿱{明,皿}
[2756]		睡	⿰{目,垂}
[2757]		督	⿱{叔,目}
[2758]		睥	⿰{目,卑}
[2759]		睦	⿰{目,坴}
[2760]		睨	⿰{目,兒}
[2761]		睫	⿰{目,⿻×{⿱{一,⺕},龰}}
[2762]		矮	⿰{矢,委}
[2763]		硼	⿰{石,朋}
[2764]		碁	⿵{其,石}
[2765]		碇	⿰{石,定}
[2766]		碌	⿰{石,彔}
[2767]		碍	⿰{石,旦}
[2768]		碎	⿰{石,卒}
[2769]		碓	⿰{石,隹}
[2770]		碗	⿰{石,宛}
[2771]		禁	⿱{林,示}
[2772]		禅	⿰{⺭,単}
[2773]		禍	⿰{⺭,咼}
[2774]		禎	⿰{⺭,貞}
[2775]		福	⿰{⺭,畐}
[2776]		禽	⿻⿱{⿵{人,⿶{凵,⿱{亠,㐅}}},禸}
[2777]		稔	⿰{禾,念}
[2778]		稙	⿰{禾,直}
[2779]		稚	⿰{禾,隹}
[2780]		稜	⿰{禾,夌}
[2781]		稟	⿱{⿱{亠,回},禾}
[2782]		稠	⿰{禾,週}
[2783]		窟	⿱{⿻⿱{宀,儿},屈}
[2784]		筥	⿱{⺮,呂}
[2785]		筮	⿱{⺮,⿻×{工,从}}
[2786]		節	⿱{⺮,即}
[2788]		絛	⿰{⿰{亻,丨},⿱{攵,糸}}
[2789]		絹	⿰{糸,員}
[2790]		絽	⿰{糸,呂}
[2791]		継	⿰{糸,⿺{㇄,米}}
[2792]		続	⿰{糸,売}
[2793]		罪	⿱{罒,非}
[2794]		罫	⿱{罒,卦}
[2795]		置	⿱{罒,直}
[2796]		署	⿱{罒,者}
[2797]		群	⿰{君,羊}
[2798]		羨	⿱{⺷,⿰{氵,欠}}
[2799]		義	⿱{⺷,我}
[2800]		聖	⿱{⿰{耳,口},王}
[2801]		腎	⿱{臤,月}
[2802]		腥	⿰{月,星}
[2803]		腫	⿰{月,重}
[2804]		腰	⿰{月,要}
[2805]		腱	⿰{月,建}
[2806]		腸	⿰{月,昜}
[2807]		腹	⿰{月,⿱{𠂉,⿻⿱{日,夂}}}
[2808]		腺	⿰{月,泉}
[2810]		與	⿱{⿻⿱{⿲{⿻⿸{⿻⿱{′,丨},二},⿹{⿻⿱{ノ,𠃑},丨},⿹{𠃍,二}},一},ハ}
[2811]		舜	⿱{⿱{⺤,冖},舛}
[2812]		艇	⿰{舟,廷}
[2813]		葦	⿱{⺾,韋}
[2814]		蒋	⿱{⺾,将}
[2815]		蒐	⿱{⺾,鬼}
[2816]		蒔	⿱{⺾,時}
[2817]		蒙	⿱{⺾,冡}
[2818]		蒟	⿱{⺾,⿰{立,句}}
[2819]		蒡	⿱{⺾,旁}
[2820]		蒲	⿱{⺾,浦}
[2821]		蒸	⿱{⺾,烝}
[2822]		蒻	⿱{⺾,弱}
[2823]		蒼	⿱{⺾,倉}
[2824]		蓄	⿱{⺾,畜}
[2825]		蓆	⿱{⺾,席}
[2826]		蓉	⿱{⺾,容}
[2827]		蓋	⿱{⺾,盍}
[2828]		蓑	⿱{⺾,衰}
[2829]		蓬	⿱{⺾,逢}
[2830]		蓮	⿱{⺾,連}
[2831]		虜	⿸{虍,男}
[2832]		虞	⿸{虍,呉}
[2833]		蛸	⿰{虫,⿻⿱{𡭔,月}}
[2834]		蛾	⿰{虫,我}
[2835]		蜀	⿱{罒,⿹{勹,虫}}
[2836]		蜂	⿰{虫,夆}
[2837]		蜃	⿱{辰,虫}
[2838]		蜈	⿰{虫,呉}
[2839]		蜉	⿰{虫,孚}
[2840]		蜒	⿰{虫,延}
[2841]		裏	⿱{⿱{亠,里},衣}
[2842]		裟	⿱{沙,衣}
[2843]		裨	⿰{⻂,卑}
[2844]		裸	⿰{⻂,果}
[2845]		裾	⿰{⻂,居}
[2846]		褐	⿰{⻂,⿻⿱{日,匂}}
[2847]		解	⿰{角,⿱{刀,牛}}
[2848]		触	⿰{角,虫}
[2849]		詣	⿰{言,旨}
[2850]		試	⿰{言,式}
[2851]		詩	⿰{言,寺}
[2852]		詫	⿰{言,宅}
[2853]		詭	⿰{言,危}
[2854]		詮	⿰{言,全}
[2855]		詰	⿰{言,古}
[2856]		話	⿰{言,舌}
[2857]		該	⿰{言,亥}
[2858]		詳	⿰{言,羊}
[2859]		誂	⿰{言,兆}
[2860]		誅	⿰{言,朱}
[2861]		誇	⿰{言,夸}
[2862]		誉	⿵{⿱{⿱{⺍,一},八},言}
[2863]		誠	⿰{言,成}
[2864]		豊	⿱{曲,豆}
[2865]		賃	⿱{任,貝}
[2866]		賄	⿰{貝,有}
[2867]		資	⿱{次,貝}
[2868]		賊	⿰{貝,⿹{戈,十}}(⿰{貝,戎})
[2869]		賎	⿰{貝,㦮}
[2870]		跡	⿰{⻊,亦}
[2871]		跨	⿰{⻊,夸}
[2872]		跪	⿰{⻊,危}
[2873]		跫	⿱{⿰{工,凡},足}
[2874]		路	⿰{⻊,各}
[2875]		跳	⿰{⻊,兆}
[2876]		践	⿰{⻊,㦮}
[2877]		躱	⿰{耳,朶}
[2878]		較	⿰{車,交}
[2879]		載	⿰{車,戈}
[2880]		辞	⿰{舌,辛}
[2881]		辟	⿰{⿸{尸,口},辛}
[2882]		農	⿱{曲,辰}
[2883]		違	⿺{⻌,韋}
[2884]		遜	⿺{⻍,孫}
[2885]		遠	⿺{⻌,袁}
[2886]		遡	⿺{⻍,朔}
[2887]		遣	⿺{⻌,⿱{⿻⿱{口,丄},㠯}}
[2888]		酩	⿰{酉,名}
[2889]		酪	⿰{酉,各}
[2890]		酬	⿰{酉,州}
[2891]		鈴	⿰{金,令}
[2892]		鉄	⿰{金,失}
[2893]		鉛	⿰{金,⿱{八,口}}
[2894]		鉢	⿰{金,本}
[2895]		鉱	⿰{金,広}
[2896]		隔	⿰{阝,鬲}
[2897]		隙	⿰{阝,⿻⿱{⿻⿱{𡭔,日},小}}
[2898]		雅	⿰{牙,隹}
[2899]		零	⿱{⻗,令}
[2900]		雷	⿱{⻗,田}
[2901]		電	⿱{⻗,甩}
[2902]		靖	⿰{立,青}
[2903]		靴	⿰{革,化}
[2904]		頌	⿰{公,頁}
[2905]		預	⿰{予,頁}
[2906]		頑	⿰{元,頁}
[2907]		頒	⿰{分,頁}
[2908]		頓	⿰{屯,頁}
[2909]		飩	⿰{⻞,屯}
[2910]		飫	⿰{⻞,夭}
[2911]		飴	⿰{⻞,台}
[2912]		飼	⿰{⻟,司}
[2913]		飽	⿰{⻟,包}
[2914]		飾	⿰{⻟,⿱{𠂉,巾}}
[2915]		馳	⿰{馬,也}
[2916]		馴	⿰{馬,川}
[2917]		鳩	⿰{九,馬}
[2919]		鼎	⿶{⿰{⿻⿱{⿻⿱{𠃑,一},ノ},⿻⿱{⿻⿱{⿻⿱{丨,一},丨},丅}},目}
[2920]		鼓	⿰{喜,支}
[2921]		鼠	⿱{臼,⿰{⿰{⿻⿰{レ,⿱{丶,丶}},⿻⿰{レ,⿱{丶,丶}}},㇂}}
[2924]		像	⿰{亻,象}
[2925]		僕	⿰{亻,菐}
[2926]		僚	⿰{亻,尞}
[2927]		僥	⿰{亻,堯}
[2928]		兢	⿰{克,克}
[2929]		劃	⿰{畫,刂}
[2930]		厭	⿸{厂,猒}
[2931]		嘉	⿱{⿱{吉,䒑},加}(⿹{喜,力})
[2932]		嘔	⿰{口,區}
[2933]		嘗	⿱{⿱{龸,口},旨}
[2934]		嘘	⿰{口,虚}
[2935]		噌	⿰{口,曾}
[2936]		團	⿴{囗,專}
[2937]		塵	⿸{鹿,土}
[2938]		塹	⿱{斬,土}
[2939]		塾	⿱{孰,土}
[2940]		境	⿰{土,竟}
