[210]		一	×一
[567]		扱	⿰{扌,及}
[568]		旨	⿱{匕,日}
[569]		早	⿱{日,十}
[570]		旬	⿹{勹,日}
[571]		旭	⿺{九,日}
[572]		曲	⿻×{⿻×{冂,⿻⿰{丨,丨}},二}
[573]		曳	⿻⿱{⿻×{日,㇂},ノ}
[574]		有	⿸{𠂇,月}
[575]		朱	⿻↖{ノ,未}
[576]		朴	⿰{木,卜}
[577]		机	⿰{木,几}
[578]		朽	⿰{木,丂}
[579]		次	⿰{冫,欠}
[580]		此	⿰{止,匕}
[581]		死	⿸{歹,匕}
[582]		毎	⿱{𠂉,毋}
[583]		気	⿹{气,㐅}
[584]		汎	⿰{氵,凡}
[585]		汐	⿰{氵,夕}
[586]		汗	⿰{氵,干}
[587]		汚	⿰{氵,⿻×{丂,一}}
[588]		江	⿰{氵,工}
[589]		池	⿰{氵,也}
[590]		灯	⿰{火,丁}
[591]		灰	⿸{厂,火}
[592]		牝	⿰{牜,匕}
[593]		牟	⿱{厶,牛}
[594]		百	⿱{一,白}
[595]		竹	⿰{⿻↖{ノ,丅},⿻↖{ノ,丁}}
[596]		米	⿻⿱{丷,木}
[597]		糸	⿻⿱{幺,小}
[598]		缶	⿻⿱{午,凵}
[599]		羊	⿻×{⿱{⿻⿱{丷,一},丨},二}(⿻×{⿱{丷,三},丨})
[600]		羽	⿰{习,习}
[601]		老	⿻⿱{⺹,匕}
[602]		考	⿻⿱{⺹,$1}
[603]		而	⿱{一,⿱{′,𦉫}}
[605]		耳	⿻⿰{⿻×{⿻⿱{一,丨},三},丨}(×目)
[606]		肉	⿵{内,人}
[607]		肋	⿰{月,力}
[608]		肌	⿰{月,几}
[609]		自	⿱{′,目}
[610]		至	⿱{⿱{一,厶},土}(⿱{一,⿱{厶,土}})
[612]		臼	⿻⿱{⿰{⿻⿰{⿻⿱{ノ,丨},一},⿻⿰{𠃍,一}},一}
[613]		舌	⿱{ノ,古}
[614]		舟	⿻×{⿵{⿵{⿱{′,⺆},ヽ},丨},一}
[615]		色	⿻⿱{⺈,巴}
